Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Small,3970.91,12.1,0.48
Medium,16483.85,19.1,15.72
Small,4335.6,11.7,0.51
Medium,7150.25,13.3,4.77
Small,1133.13,11.1,0.13
Small,1412.1,10.6,0.15
Large,32568.23,22.8,111.35
Small,705.21,12.1,0.09
Small,3159.44,10.4,0.33
Very Large,79635.03,29.3,700.3
Large,36671.11,19.8,109.17
Very Large,60658.21,21.2,385.2
Small,2284.43,15.0,0.34
Large,29069.8,23.6,102.93
Small,1722.82,13.8,0.24
Very Large,75528.49,21.8,494.31
Medium,12709.5,17.7,11.23
Very Large,50441.13,24.9,376.15
Very Large,84890.23,25.4,645.83
Small,592.57,14.9,0.09
Small,3999.39,12.5,0.5
Small,3144.0,13.4,0.42
Small,4499.31,12.3,0.55
Small,754.71,14.2,0.11
Large,39678.46,16.2,96.41
Very Large,59606.47,26.7,476.93
Very Large,84701.0,26.0,661.34
Very Large,62311.86,28.6,535.33
Medium,15488.64,17.1,13.25
Very Large,50879.62,22.7,346.19
Large,38535.77,22.9,132.2
Very Large,85823.9,24.9,641.76
Small,4200.64,12.7,0.53
Very Large,97534.4,21.2,618.97
Very Large,84874.95,24.8,630.4
Small,630.96,10.1,0.06
Large,26514.66,24.8,98.8
Medium,9535.16,19.9,9.48
Very Large,76781.58,21.4,492.27
Medium,7553.74,13.6,5.14
Very Large,82436.09,23.9,591.12
Medium,18134.94,13.7,12.4
Small,4062.8,10.9,0.44
Very Large,52575.01,25.5,402.98
Very Large,70256.3,28.7,605.44
Medium,5629.25,17.5,4.91
Large,23306.99,22.9,80.04
Large,29175.74,15.5,67.77
Very Large,97711.57,23.7,695.15
Large,24734.03,18.9,70.2
Very Large,82874.7,21.9,545.17
Very Large,63468.43,22.8,434.89
Large,26109.46,21.4,83.97
Medium,13593.3,16.7,11.33
Small,3081.5,14.6,0.45
Small,2247.34,11.3,0.25
Large,28067.13,15.6,65.51
Medium,14539.25,18.3,13.27
Very Large,65364.68,25.3,496.82
Medium,11576.28,12.5,7.25
Large,25699.9,18.4,71.06
Large,49471.85,18.5,136.95
Medium,8766.68,19.3,8.47
Small,3643.57,10.8,0.39
Large,47921.77,24.3,174.85
Small,979.95,14.8,0.15
Small,3545.32,12.7,0.45
Medium,17003.51,16.2,13.76
Medium,18033.06,14.9,13.4
Small,2018.37,13.3,0.27
Medium,11411.47,12.9,7.36
Very Large,96023.1,29.0,835.98
Large,23167.48,24.9,86.58
Large,32295.38,19.9,96.48
Very Large,76860.41,24.4,562.58
Medium,7112.29,18.6,6.62
Medium,15856.2,12.2,9.67
Large,40328.4,15.4,93.06
Large,32155.46,24.3,117.02
Large,35226.81,20.5,108.44
Large,25979.72,15.7,61.0
Large,36118.34,24.4,132.42
Large,35426.22,23.4,124.12
Medium,17448.83,17.3,15.07
Small,2658.65,14.3,0.38
Medium,19534.52,17.0,16.61
Small,3110.2,12.2,0.38
Small,4743.3,14.4,0.69
Small,892.97,14.6,0.13
Large,33635.24,22.1,111.73
Very Large,83691.9,22.1,555.05
Very Large,61266.85,29.7,546.68
Very Large,70319.99,27.3,576.04
Small,1351.44,13.1,0.18
Large,24218.17,15.7,57.08
Small,670.52,13.1,0.09
Very Large,83599.39,29.7,745.05
Very Large,54901.17,21.3,350.37
Large,27175.3,20.9,85.2
Large,47173.86,17.9,126.92
Medium,5253.94,16.2,4.25
Very Large,91230.79,28.2,770.81
Small,1753.83,12.0,0.21
Very Large,74110.81,24.8,552.47
Medium,14452.78,18.4,13.32
Small,2528.58,13.3,0.34
Large,32831.04,22.0,108.42
Medium,12691.21,19.4,12.34
Large,25245.11,18.4,69.62
Very Large,83277.82,26.5,661.39
Large,37382.17,23.0,128.87
Medium,18376.88,14.5,13.35
Large,37815.63,19.0,107.74
Large,41436.25,22.0,136.93
Small,1382.63,12.3,0.17
Medium,14686.47,13.7,10.04
Large,37638.01,23.4,132.24
Large,31717.23,18.2,86.5
Small,3605.95,13.7,0.49
Very Large,96179.68,27.4,790.91
Medium,6861.45,15.4,5.27
Very Large,76326.24,22.5,515.28
Very Large,86919.58,27.7,723.4
Large,44671.73,19.1,128.2
Medium,15293.5,12.3,9.39
Very Large,67208.59,22.8,460.02
Very Large,73331.72,24.2,532.35
Large,22565.74,23.7,80.18
Very Large,97331.94,29.2,852.78
Small,3040.57,10.4,0.32
Very Large,89537.41,20.8,557.5
Very Large,66559.44,24.0,478.45
Small,534.79,12.1,0.06
Very Large,53457.64,23.5,376.55
Small,1422.92,13.6,0.19
Medium,9378.95,16.4,7.67
Medium,5489.83,12.6,3.45
Very Large,97140.27,22.9,667.62
Medium,14075.05,15.1,10.65
Large,27385.62,21.7,89.13
Very Large,86802.7,25.1,654.4
Very Large,79444.13,25.8,614.01
Large,36053.2,20.1,108.78
Small,582.43,11.3,0.07
Medium,6913.87,15.5,5.34
Medium,13729.41,19.3,13.23
Medium,10066.34,12.6,6.33
Medium,18689.91,18.7,17.44
Small,2150.91,13.8,0.3
Large,26671.74,24.5,98.11
Very Large,67252.54,21.4,431.27
Very Large,95949.81,25.1,722.95
Small,2534.42,11.5,0.29
Very Large,51921.45,24.3,379.1
Small,1996.01,13.0,0.26
Very Large,66628.15,21.3,426.29
Medium,14124.64,15.1,10.67
Very Large,76822.56,24.0,553.55
Large,23113.46,18.8,65.35
Small,2759.67,14.3,0.39
Small,2350.95,13.0,0.31
Small,4497.58,13.8,0.62
Very Large,58142.33,20.4,356.24
Medium,14569.69,18.8,13.71
Small,3628.98,13.7,0.5
Large,33657.93,20.3,102.66
Medium,10613.97,18.1,9.6
Very Large,58505.06,23.2,406.5
Very Large,83387.8,28.5,714.16
Small,2651.28,12.7,0.34
Small,2293.83,13.8,0.32
Large,36981.43,15.4,85.67
Medium,15244.42,14.0,10.68
Very Large,93125.99,22.0,614.07
Very Large,54165.13,21.9,355.15
Medium,13204.94,14.1,9.28
Medium,12559.49,13.6,8.56
Small,3218.08,15.0,0.48
Medium,12028.2,18.9,11.39
Small,3698.1,14.2,0.52
Small,1367.38,13.4,0.18
Large,31128.64,16.8,78.5
Medium,16597.08,12.8,10.62
Very Large,65700.4,22.7,447.7
Very Large,74375.11,23.7,527.98
Small,2327.2,13.4,0.31
Large,47565.59,21.1,150.48
Large,26933.93,15.9,64.08
Large,46065.52,19.1,132.31
Medium,9537.9,17.5,8.37
Medium,14625.3,17.7,12.97
Small,796.49,12.3,0.1
Large,30652.84,20.0,91.76
Large,38908.52,20.4,119.04
Large,46709.28,19.7,138.15
Medium,5477.08,15.6,4.27
Large,27089.78,19.4,78.77
Small,994.91,11.8,0.12
Small,1578.85,10.5,0.17
Medium,16299.46,17.6,14.32
Small,1133.19,14.7,0.17
Very Large,75153.53,20.8,468.35
Very Large,51400.27,29.3,452.08
Medium,9174.91,13.4,6.17
Medium,6152.74,15.1,4.66
Large,37167.3,23.7,131.99
Very Large,55957.85,22.4,376.87
Medium,13320.38,13.0,8.66
Large,37861.2,18.4,104.65
Very Large,68276.44,20.8,425.29
Medium,11002.18,16.7,9.21
Large,48076.28,24.6,177.09
Small,3512.74,10.1,0.36
Large,49802.6,19.0,141.97
Large,36815.26,23.7,130.67
Large,35785.26,16.3,87.39
Large,37490.19,16.5,92.62
Medium,6042.3,15.9,4.8
Very Large,50424.3,22.2,335.32
Very Large,70889.62,28.6,609.11
Medium,5857.69,16.8,4.91
Small,2337.85,10.6,0.25
Medium,14142.8,13.5,9.57
Small,3389.81,14.8,0.5
Large,45740.41,18.4,126.41
Large,34943.62,24.0,125.67
Medium,5434.89,18.2,4.94
Small,3479.96,12.0,0.42
Large,28080.38,23.2,97.69
Medium,6716.97,13.0,4.35
Medium,11273.83,17.6,9.92
Very Large,61337.91,20.4,374.5
Large,48150.95,16.1,116.55
Medium,13949.59,17.2,11.98
Small,1449.36,12.5,0.18
Large,32906.86,19.1,94.13
Large,27727.36,18.3,76.26
Large,29456.3,22.3,98.7
Very Large,74659.78,23.0,514.84
Small,3879.61,11.9,0.46
Large,37458.31,22.9,128.45
Small,4992.1,12.4,0.62
Large,29154.75,24.5,107.21
Large,22546.85,17.7,59.9
Small,2856.64,10.4,0.3
Very Large,58310.77,22.8,399.05
Large,35415.72,15.1,80.25
Medium,6316.34,13.2,4.18
Medium,8211.74,16.4,6.74
Large,26098.52,20.6,80.66
Large,27289.93,17.5,71.58
Small,4512.11,12.8,0.58
Small,1409.97,12.7,0.18
Very Large,50479.3,20.2,305.46
Large,25759.27,19.9,76.82
Small,3268.97,15.0,0.49
Large,24019.96,15.9,57.23
Small,4704.06,11.5,0.54
Small,761.68,12.6,0.1
Very Large,60469.07,22.9,415.93
Large,27213.37,19.1,77.82
Small,3375.65,12.0,0.41
Small,4816.37,10.0,0.48
Very Large,59829.35,29.0,521.35
Very Large,91495.9,28.9,794.0
Large,35752.64,20.5,110.12
Very Large,73186.59,21.0,461.85
Medium,19426.18,19.8,19.26
Medium,11579.88,12.1,7.03
Small,2371.7,13.9,0.33
Small,4795.78,10.8,0.52
Large,21973.71,23.1,76.13
Very Large,89961.36,22.7,613.05
Very Large,66325.19,25.8,513.88
Small,3910.31,13.2,0.52
Medium,15061.02,14.9,11.22
Medium,17002.37,17.1,14.57
Large,34969.43,21.5,112.97
Small,2597.02,13.2,0.34
Very Large,57775.62,20.7,359.45
Large,27015.45,15.8,64.02
Medium,10938.88,19.6,10.74
Large,42569.33,18.8,119.74
Medium,14340.51,13.2,9.49
Very Large,67806.96,29.6,602.89
Medium,14229.52,15.0,10.67
Large,33474.19,20.4,102.25
Small,3824.59,12.0,0.46
Very Large,85816.55,30.0,771.8
Small,3416.99,12.0,0.41
Small,3611.24,11.6,0.42
Very Large,84587.29,20.7,524.06
Small,3314.74,12.0,0.4
Small,1932.94,13.2,0.25
Small,2218.36,13.3,0.29
Small,2963.7,11.7,0.35
Medium,17755.44,12.5,11.13
Small,2941.49,11.0,0.32
Medium,5186.24,13.4,3.47
Small,3824.37,10.1,0.39
Medium,16359.58,16.7,13.65
Large,40070.33,18.7,112.38
Very Large,94625.57,22.3,632.2
Medium,5300.22,16.4,4.34
Very Large,98811.56,24.9,737.58
Medium,14583.17,13.5,9.86
Large,40975.8,20.3,124.47
Medium,16482.97,12.1,10.0
Very Large,73482.42,20.8,457.78
Very Large,66853.57,20.3,407.39
Very Large,50168.94,27.2,409.35
Very Large,51108.29,21.7,332.27
Medium,8415.3,17.0,7.14
Small,854.42,13.3,0.11
Medium,18772.88,15.1,14.13
Medium,12979.59,13.7,8.9
Large,31951.33,18.2,87.18
Very Large,73905.35,26.7,592.81
Large,22472.13,23.4,78.98
Medium,8970.48,17.8,7.99
Small,518.11,12.0,0.06
Small,2630.99,14.0,0.37
Medium,12312.91,12.3,7.59
Small,2288.85,12.1,0.28
Medium,17449.37,13.6,11.87
Small,3682.82,14.6,0.54
Large,45301.75,24.4,165.93
Large,44873.96,22.2,149.21
Medium,11998.89,19.2,11.51
Small,2850.13,11.6,0.33
Very Large,90429.31,29.2,792.23
Small,1548.5,12.0,0.19
Small,2882.67,13.4,0.39
Large,23507.09,20.0,70.49
Medium,7936.63,19.5,7.72
Small,2465.18,14.3,0.35
Large,29533.56,18.1,80.18
Large,23725.39,15.5,55.16
Large,29221.18,21.9,96.08
Large,30426.93,15.4,70.45
Medium,12242.26,14.8,9.09
Medium,16867.4,17.0,14.35
Medium,15640.86,19.5,15.23
Medium,7455.64,12.6,4.7
Very Large,93223.85,22.9,639.17
Small,684.48,14.4,0.1
Small,3761.19,12.2,0.46
Small,2144.28,12.7,0.27
Large,41019.73,15.2,93.7
Very Large,84791.16,25.8,656.39
Medium,13957.26,15.7,10.93
Small,1965.92,14.8,0.29
Large,33143.67,18.6,92.42
Very Large,99688.5,24.9,745.52
Medium,12513.05,13.6,8.48
Large,26937.93,16.9,68.27
Large,40386.62,20.5,124.07
Very Large,88429.82,23.8,630.6
Very Large,64690.1,28.3,548.86
Very Large,98547.01,23.7,699.54
Small,3833.68,14.2,0.54
Very Large,78168.95,20.8,486.89
Very Large,53475.39,25.1,402.44
Medium,18233.8,14.7,13.44
Very Large,97678.68,21.8,639.74
Medium,6339.22,15.1,4.79
Large,41679.49,22.2,138.94
Medium,7719.7,14.6,5.65
Medium,10149.01,17.5,8.88
Small,3675.22,11.8,0.43
Very Large,70371.78,23.9,504.57
Very Large,59688.44,23.0,412.48
Small,761.29,14.3,0.11
Small,1556.78,10.4,0.16
Large,48158.01,21.6,156.23
Small,3414.7,11.2,0.38
Large,34361.07,16.9,86.91
Very Large,55255.96,23.6,390.61
Large,41733.81,19.7,123.02
Medium,12920.51,14.3,9.24
Large,33914.65,21.1,107.3
Small,4173.67,13.5,0.57
Small,4316.43,12.7,0.55
Very Large,61451.25,23.9,441.02
Large,35823.08,20.1,108.25
Large,47906.76,22.9,164.47
Very Large,54662.25,22.6,371.19
Medium,7275.24,16.4,5.96
Large,36044.54,21.0,113.34
Medium,15459.72,16.8,12.97
Very Large,87214.05,27.5,718.49
Small,4750.18,13.5,0.64
Large,20670.35,23.1,71.58
Medium,10915.11,18.1,9.9
Large,21881.65,18.5,60.68
Very Large,73520.38,23.0,506.24
Small,4640.0,14.5,0.67
Small,1873.26,12.5,0.23
Large,26411.39,17.7,70.01
Medium,6818.05,13.5,4.59
Large,24624.68,19.5,72.14
Very Large,53624.93,29.0,465.78
Large,25876.17,16.7,64.7
Small,950.06,12.4,0.12
Very Large,89731.34,27.5,740.64
Medium,18665.98,15.2,14.17
Medium,13263.69,12.9,8.55
Very Large,75190.97,24.6,553.95
Very Large,55560.83,20.3,338.67
Large,21963.93,18.8,61.95
Large,39811.59,16.1,96.4
Very Large,56351.04,23.0,388.21
Medium,16203.55,13.6,11.03
Medium,17059.39,12.9,11.0
Very Large,90057.78,22.6,611.83
Very Large,85311.59,21.3,545.27
Small,3564.4,12.8,0.45
Small,3728.63,13.3,0.5
Medium,10291.53,19.0,9.76
Small,2921.52,12.3,0.36
Large,49997.74,19.4,145.14
Medium,9103.76,19.4,8.84
Large,41932.28,19.6,123.48
Very Large,85914.51,23.4,602.32
Large,46513.32,16.1,112.22
Very Large,94077.81,21.1,596.28
Large,40339.94,19.1,115.41
Very Large,62673.47,26.3,495.14
Large,45033.5,22.5,152.16
Very Large,58303.22,26.6,465.82
Very Large,64422.92,22.5,434.67
Large,37319.19,21.0,117.7
Medium,7927.91,13.1,5.21
Large,21119.56,22.7,71.87
Large,27201.15,22.3,90.95
Large,21261.09,24.7,78.78
Very Large,62240.59,23.8,443.72
Small,1813.85,13.0,0.24
Very Large,68934.53,26.9,557.31
Very Large,75851.29,21.4,487.93
Small,3285.15,10.3,0.34
Large,31756.82,19.0,90.64
Medium,17290.19,19.3,16.68
Very Large,99488.72,23.0,687.12
Medium,18722.23,14.6,13.63
Very Large,60062.66,25.9,466.77
Large,42791.35,22.6,145.16
Very Large,79868.2,21.6,517.64
Very Large,61599.25,29.0,536.6
Small,4029.64,11.3,0.46
Very Large,54159.68,22.9,371.31
Large,38150.93,16.2,92.81
Medium,14328.25,16.0,11.44
Large,40925.66,15.7,96.55
Medium,5427.78,13.7,3.71
Large,23221.95,24.5,85.34
Medium,13835.9,16.4,11.34
Small,1547.19,10.2,0.16
Very Large,92741.71,20.0,556.54
Very Large,51717.17,26.5,411.65
Very Large,68084.54,27.4,559.29
Medium,15605.51,13.9,10.82
Large,22137.58,24.2,80.43
Small,1719.26,13.8,0.24
Large,31797.39,17.2,81.91
Medium,7758.66,14.9,5.77
Large,31284.95,20.1,94.15
Large,37129.33,15.4,85.71
Very Large,66982.59,24.3,487.93
Medium,7696.2,16.3,6.28
Large,40002.68,19.7,118.3
Small,1158.05,14.2,0.16
Large,22869.91,15.4,52.76
Small,2375.24,13.1,0.31
Very Large,69208.01,29.1,604.08
Large,49573.21,21.5,160.22
Large,23511.24,15.2,53.47
Medium,10230.76,19.1,9.76
Small,788.0,10.7,0.08
Large,33452.49,21.6,108.23
Small,2978.45,11.3,0.34
Large,43143.19,15.5,100.17
Small,4539.67,14.9,0.68
Small,959.28,11.2,0.11
Large,20995.89,25.0,78.63
Medium,6691.06,17.0,5.69
Large,31759.43,21.5,102.23
Very Large,66241.14,27.9,554.26
Very Large,67077.41,29.6,595.51
Very Large,77423.67,22.9,530.78
Medium,17165.24,13.3,11.38
Large,38439.27,23.7,136.67
Medium,6976.8,13.0,4.53
Small,3286.22,14.1,0.46
Medium,11774.55,15.5,9.11
Medium,15442.63,19.7,15.2
Very Large,94294.14,22.3,632.15
Very Large,86619.75,23.4,609.21
Very Large,85767.66,23.7,610.53
Medium,15665.34,15.1,11.79
Small,791.93,11.0,0.09
Medium,10463.36,17.2,9.0
Very Large,78732.1,20.8,492.15
Large,44384.7,20.9,138.94
Small,1661.2,10.4,0.17
Small,4382.6,12.5,0.55
Small,1074.5,14.0,0.15
Large,38969.68,18.5,107.99
Large,48242.77,23.9,173.09
Very Large,60858.23,24.6,449.61
Very Large,68282.11,20.5,419.01
Large,21241.53,15.3,48.83
Small,1174.17,12.2,0.14
Medium,12410.41,15.3,9.48
Small,4568.74,11.2,0.51
Large,23457.78,18.0,63.33
Small,607.98,12.5,0.08
Medium,10883.93,15.5,8.44
Very Large,62826.63,25.6,483.21
Medium,19607.6,16.0,15.73
Small,4435.0,11.7,0.52
Medium,18100.48,15.7,14.18
Medium,13023.57,15.7,10.21
Very Large,70952.92,26.8,570.99
Very Large,53665.82,22.2,357.96
Small,4088.18,11.9,0.49
Small,1312.17,13.8,0.18
Small,2720.83,12.1,0.33
Large,35354.83,24.3,129.07
Large,36861.92,20.9,115.71
Large,37639.23,17.8,100.32
Very Large,71381.37,21.2,454.94
Very Large,52053.32,20.7,323.49
Very Large,99090.86,23.7,704.46
Very Large,61063.5,22.0,402.25
Very Large,52777.18,26.3,415.74
Large,26132.11,17.5,68.45
Very Large,73088.67,20.3,444.98
Very Large,55237.91,28.4,470.02
Large,20805.56,19.4,60.68
Very Large,91109.15,27.8,759.48
Very Large,51887.96,22.9,356.57
Very Large,71192.89,20.1,430.28
Small,1794.86,14.9,0.27
Large,29881.62,18.7,83.73
Very Large,64417.07,24.9,481.91
Medium,5383.21,15.3,4.1
Small,4880.78,11.9,0.58
Small,1634.98,14.4,0.24
Very Large,84402.05,23.4,591.72
Large,24263.21,17.6,64.03
Medium,7044.16,12.2,4.3
Medium,12372.37,18.2,11.24
Large,25192.54,16.4,61.95
Large,29586.47,16.5,73.28
Medium,6262.56,13.7,4.29
Very Large,76888.54,20.6,475.07
Medium,15749.47,15.4,12.13
Medium,8979.6,17.3,7.79
Small,3957.0,11.3,0.45
Medium,10717.63,17.8,9.51
Medium,13763.28,15.1,10.39
Medium,12672.73,17.6,11.16
Small,1819.0,11.6,0.21
Medium,7664.3,13.3,5.09
Medium,10293.84,13.9,7.17
Small,3396.83,12.6,0.43
Large,29165.93,17.2,75.28
Small,3848.84,12.7,0.49
Large,22211.29,20.1,67.04
Medium,13575.23,19.5,13.24
Very Large,81558.26,25.7,628.41
Small,3852.86,14.5,0.56
Small,4820.15,11.1,0.54
Medium,5439.41,19.8,5.38
Small,1376.91,10.4,0.14
Large,35661.45,18.8,100.56
Small,3237.42,13.4,0.43
Large,49697.64,17.1,127.32
Very Large,61784.43,28.3,525.02
Medium,19900.51,19.7,19.65
Large,23181.13,19.0,66.19
Very Large,72057.44,28.1,607.23
Medium,14895.54,17.2,12.83
Large,27604.07,23.8,98.37
Medium,19401.0,12.5,12.16
Very Large,70890.94,27.5,584.92
Small,4200.99,14.9,0.62
Medium,13767.05,15.1,10.41
Medium,7250.29,16.5,5.98
Very Large,93159.37,23.6,659.56
Very Large,62974.4,27.0,509.23
Large,37008.51,22.6,125.7
Medium,16956.26,14.7,12.49
Medium,16362.9,18.7,15.32
Large,20699.67,16.7,51.99
Large,33035.08,15.2,75.54
Small,2192.39,14.2,0.31
Medium,9223.03,12.4,5.73
Small,3328.88,14.7,0.49
Large,22786.99,15.6,53.43
Very Large,60846.66,20.8,380.58
Very Large,93777.83,28.8,809.1
Large,36580.06,21.4,117.54
Small,4003.11,10.3,0.41
Small,1062.55,10.7,0.11
Small,4958.26,13.8,0.68
Small,1146.21,12.4,0.14
Medium,14682.36,19.6,14.37
Medium,17266.67,19.0,16.36
Medium,10894.06,19.0,10.37
Large,33171.59,17.9,88.95
Medium,12079.07,18.8,11.37
Very Large,78439.28,21.2,498.06
Large,20519.0,22.8,70.13
Large,32881.52,23.5,115.85
Medium,5696.73,13.3,3.78
Very Large,78024.4,20.6,482.45
Very Large,99908.74,28.3,846.85
Small,2205.6,14.6,0.32
Small,1836.85,11.2,0.21
Very Large,90507.69,20.1,546.87
Large,31309.81,20.1,94.24
Very Large,77653.66,25.4,590.98
Small,4588.36,12.2,0.56
Medium,14778.69,14.3,10.58
Small,756.29,11.0,0.08
Large,40574.45,18.1,109.93
Medium,19170.64,12.9,12.36
Small,2351.44,11.7,0.28
Large,48937.41,19.8,145.25
Medium,17745.12,19.8,17.59
Small,2096.02,14.4,0.3
Small,1204.62,10.9,0.13
Small,1838.81,12.9,0.24
Large,31804.78,15.6,74.25
Small,1637.19,11.0,0.18
Medium,14711.63,14.6,10.75
Very Large,69409.05,24.2,504.17
Small,3364.95,11.1,0.38
Medium,11594.26,17.2,9.97
Small,1850.72,11.3,0.21
Medium,19136.87,20.0,19.12
Medium,15637.36,18.9,14.76
Very Large,78190.87,21.6,506.08
Medium,11929.98,12.3,7.33
Medium,9206.45,13.1,6.04
Small,1705.98,10.6,0.18
Medium,15065.19,17.2,12.93
Large,21027.64,17.7,55.96
Large,38838.12,24.9,145.3
Large,43245.96,20.4,132.31
Large,38952.09,22.6,132.32
Small,4417.85,11.3,0.5
Very Large,98769.92,30.0,887.5
Medium,14155.43,14.1,9.99
Large,40678.52,18.4,112.16
Small,2953.93,11.2,0.33
Large,32841.43,18.3,89.95
Large,38081.19,16.2,92.73
Medium,19708.88,18.4,18.17
Small,3278.55,12.9,0.42
Small,2826.72,10.2,0.29
Small,4788.83,11.2,0.54
Medium,6253.73,18.6,5.81
Medium,19467.73,16.9,16.42
Medium,9203.98,17.7,8.15
Very Large,58238.64,27.1,472.83
Very Large,72615.71,27.3,595.69
Medium,17857.96,12.5,11.14
Small,1401.62,12.7,0.18
Medium,10619.92,13.4,7.09
Large,40715.2,15.5,94.41
Very Large,69494.74,24.0,500.85
Small,1561.55,10.3,0.16
Medium,5214.93,14.6,3.81
Very Large,51012.47,27.2,416.15
Small,3349.97,13.4,0.45
Large,37979.01,16.9,96.11
Medium,10599.57,16.5,8.75
Large,40459.92,18.4,111.52
Medium,10195.77,16.5,8.43
Large,38869.65,22.9,133.51
Medium,6240.98,16.2,5.05
Large,25296.63,21.3,81.01
Very Large,95381.96,27.2,776.99
Large,33913.62,16.8,85.5
Small,4116.67,14.9,0.61
Large,21073.24,15.2,47.96
Very Large,90854.02,27.4,745.73
Very Large,92240.28,22.6,625.01
Small,937.77,11.3,0.11
Very Large,75132.47,26.6,598.69
Large,41045.59,18.9,116.24
Large,30190.35,21.3,96.66
Large,26680.82,16.1,64.55
Large,31057.3,19.2,89.22
Large,45843.35,23.5,161.32
Large,27309.83,16.9,69.38
Small,1948.92,10.2,0.2
Small,1590.87,13.0,0.21
Very Large,89834.18,21.9,590.75
Very Large,88663.06,29.1,772.96
Large,43511.67,19.5,127.06
Medium,15602.67,19.5,15.21
Medium,9415.85,16.5,7.75
Very Large,96380.71,26.5,765.32
Medium,9532.65,19.1,9.11
Very Large,77150.63,23.8,551.67
Medium,5172.47,17.0,4.39
Very Large,87348.73,23.5,614.5
Small,2597.64,13.7,0.36
Very Large,78122.45,21.2,497.74
Medium,14984.97,16.1,12.03
Large,48770.25,20.2,147.43
Very Large,95802.43,24.1,691.73
Medium,10239.91,18.7,9.6
Large,44752.74,15.3,102.93
Small,2185.94,10.1,0.22
Medium,10667.27,19.0,10.12
Very Large,71599.38,20.6,441.78
Small,1985.81,11.9,0.24
Small,2391.05,10.4,0.25
Medium,5377.31,18.1,4.87
Small,2881.65,14.7,0.42
Medium,6831.69,15.7,5.35
Small,2823.05,14.4,0.41
Medium,13300.14,14.0,9.28
Large,30354.72,15.2,69.1
Large,24103.24,23.4,84.78
Medium,7588.79,15.3,5.81
Medium,19483.28,14.3,13.88
Very Large,52275.21,29.5,462.79
Medium,15513.93,12.1,9.37
Very Large,72691.89,28.8,627.91
Large,35873.71,18.6,100.33
Medium,12443.53,19.2,11.95
Very Large,62310.24,22.9,428.75
Medium,16680.12,16.5,13.77
Small,3426.97,14.8,0.51
Very Large,86428.26,23.4,608.02
Large,48490.83,20.0,145.43
Very Large,85736.11,25.2,648.52
Small,1608.95,10.3,0.17
Small,2497.7,13.0,0.32
Small,4023.8,14.2,0.57
Small,1669.62,11.5,0.19
Large,48175.88,22.3,160.82
Very Large,84134.93,23.9,603.96
Very Large,53545.67,25.0,401.58
Medium,15388.66,12.7,9.81
Small,808.01,12.2,0.1
Very Large,95333.44,24.1,688.86
Medium,10760.71,16.9,9.08
Very Large,89244.57,20.7,555.49
Medium,18806.62,17.1,16.13
Medium,8687.06,17.4,7.55
Very Large,89133.15,25.9,692.06
Very Large,84867.9,22.2,566.36
Large,46242.88,20.8,144.37
Large,41883.32,17.4,109.16
Very Large,70016.26,20.8,437.48
Medium,10669.82,18.5,9.88
Very Large,92165.13,25.8,712.88
Large,32731.3,20.4,100.29
Medium,10309.58,17.8,9.17
Very Large,71588.38,23.8,511.63
Very Large,86888.28,21.5,560.44
Large,49606.31,18.0,134.1
Small,3278.53,14.8,0.48
Very Large,65816.7,21.0,414.06
Small,3427.18,13.4,0.46
Very Large,64805.86,28.9,561.17
Medium,12064.35,18.4,11.1
Small,2422.32,11.2,0.27
Very Large,77240.79,29.2,677.67
Small,1467.03,10.6,0.16
Small,3090.83,11.1,0.34
Large,34712.31,23.7,123.54
Medium,8894.21,16.7,7.41
Very Large,85984.48,21.1,544.68
Large,21119.02,18.2,57.67
Very Large,77259.54,25.5,592.07
Small,2850.03,12.8,0.36
Medium,6627.22,19.7,6.52
Large,22939.84,21.3,73.44
Large,24828.66,19.1,71.11
Medium,5262.43,19.8,5.21
Medium,14199.3,18.5,13.14
Medium,11362.26,13.9,7.92
Very Large,77307.22,26.5,614.93
Medium,12900.88,18.8,12.12
Large,34731.34,15.9,82.91
Very Large,55704.32,21.3,355.95
Medium,19455.31,19.6,19.04
Large,22238.4,19.0,63.48
Large,44467.61,21.3,141.9
Large,46044.4,16.0,110.81
Medium,12645.84,19.2,12.15
Medium,16069.8,19.4,15.56
Medium,19947.83,14.4,14.35
Very Large,86633.6,29.5,767.54
Medium,16167.33,12.8,10.38
Medium,9535.54,17.8,8.48
Large,21444.52,20.0,64.49
Medium,17437.94,12.1,10.51
Small,4180.43,11.9,0.5
Large,33989.37,19.4,98.72
Large,21300.37,18.6,59.57
Large,48554.23,24.8,180.79
Large,33101.68,21.5,106.86
Very Large,69122.19,29.9,619.5
Small,3386.15,13.9,0.47
Large,21341.66,17.0,54.58
Medium,19450.9,13.7,13.34
Large,38927.31,17.1,99.92
Very Large,60059.21,25.2,454.63
Medium,12024.58,15.3,9.21
Very Large,52380.62,25.7,404.26
Very Large,60691.76,25.7,468.26
Very Large,52464.01,29.5,464.38
Large,43389.45,17.6,114.28
Large,47099.44,19.8,140.12
Medium,7130.03,17.2,6.13
Medium,13499.84,14.2,9.57
Small,1527.4,11.8,0.18
Medium,6439.64,15.2,4.88
Very Large,89443.51,21.4,574.94
Very Large,67424.77,28.2,570.95
Small,4564.44,10.8,0.49
Medium,12399.4,16.0,9.91
Small,4374.68,11.1,0.48
Very Large,57028.96,23.3,397.89
Large,48230.81,20.7,149.73
